id,url,title,type,country,director,alsoknownas,episodes,score,aired,duration,genres,tags,mainrole,supportrole
1,https://mydramalist.com/1-crows-zero,Crows Zero (2007), Movie, Japan , Takashi Miike ,"  Kurozu zero ,   Crows: Episode 0 ,   Crows Zero  ",," 7.9 (scored by 4,739 users)",, 2 hr. 9 min.,"Action,Friendship,Thriller,Comedy,Crime,School,Youth","Gang,AdaptedFromAManga,Yakuza,Delinquent,TakahashiHiroshi,Teenager,StrongMaleLead,Smoking,StreetFight,HighSchool","Oguri Shun,Yamada Takayuki,","Yabe Kyosuke,Kiritani Kenta,Takahashi Tsutomu,Takaoka Sousuke,"
2,https://mydramalist.com/2-1-litre-no-namida,1 Litre no Namida (2005), Drama, Japan ," Murakami Shosuke,  Kinoshita Takao ","  Ichi Rittoru no Namida ,  One Litre of Tears ,  A Diary with Tears ,  1 Litre of Tears  ", 11," 9.0 (scored by 16,010 users)"," Oct 11, 2005 - Dec 20, 2005", 45 min.,"Romance,School,Drama,Family,Melodrama","BasedOnTrueStory,TerminalIllness,Tearjerker,HighSchool,AdaptedFromANovel,SpinocerebellarAtaxia,Death,SickFemaleLead,KitoAya,IdolActor","Sawajiri Erika,Nishikido Ryo,","Yakushimaru Hiroko,Jinnai Takanori,Narumi Riko,Sanada Yuma,"
3,https://mydramalist.com/3-crows-zero-2,Crows Zero 2 (2009), Movie, Japan , Takashi Miike ,"  Crows Zero II ,   Kurozu zero II ,    ",," 8.0 (scored by 3,431 users)",, 2 hr. 13 min.,"Action,Friendship,Thriller,Comedy,School,Youth","HighSchoolGraduate,TakahashiHiroshi,Teenager,Thug,Smoking,Delinquent,StreetFight,Death,HighSchool,Gang","Oguri Shun,Yamada Takayuki,","Kaneko Nobuaki,Yabe Kyosuke,Abe Shinnosuke,Kiritani Kenta,"
4,https://mydramalist.com/4-volcano-high,Volcano High School (2001), Movie, South Korea ,,"  Hwasango ,  Hwasan Highschool ,  Volcano High  ",, 6.8 (scored by 724 users),, 2 hr. 1 min.,"Action,Friendship,Comedy,School,MartialArts,Fantasy","PowerStruggle,HighSchool,TransferStudent,MartialArts","Jang Hyuk,Kim Soo Ro,","Shin Min Ah,Kwon Sang Woo,Gong Hyo Jin,Jung Sang Hoon,"
5,https://mydramalist.com/5-the-client,The Client  (2011), Movie, South Korea ,,  Uiroein  ,, 7.9 (scored by 839 users),, 2 hr. 3 min.,"Thriller,Mystery,Law,Investigation","MysteriousFigure,MysteriousCharacter,CriminalInvestigation,Attorney,MysteriousCase,DeathOfWife,CriminalPsychologist,TimidWife,Courtroom,Lawyer","Ha Jung Woo,Park Hee Soon ,Jang Hyuk,","Hwang Byung Kook,Park Sung Yun,Min Bok Gi,"
6,https://mydramalist.com/6-maybe,Maybe (2009), Movie, South Korea ,,"  Rabbit and Lizard  ,   Tokkiwa Rijeodeu  ",, 7.0 (scored by 372 users),, 1 hr. 42 min.,"Romance,Drama,Melodrama","TaxiDriver,RoadTrip,IdentityCrisis,HeartDisease,TerminalIllness","Jang Hyuk,Sung Yoo Ri,","Kim Dong Joo,Kang Soo Young,Lee Seung Yeon,"
7,https://mydramalist.com/7-five-senses-of-eros,Five Senses of Eros (2009), Movie, South Korea , Hur Jin Ho ,  Ogamdo  ,," 6.4 (scored by 1,314 users)",, 2 hr. 8 min.,"Friendship,Romance,Life,Melodrama,Mature","SteamyKiss,Swinging,LGBTQ+,Train,Anthology","Jang Hyuk,Cha Hyun Jung,Cha Soo Yeon,Bae Jong Ok,Kim Dong Wook,Kim Gyu Ri,",
8,https://mydramalist.com/8-secret-garden-2010,Secret Garden (2010), Drama, South Korea ," Kwon Hyuk Chan,  Shin Woo Cheol,  Kim Jung Hyun ","  Shikeurit Gadeun ,  Jardín secreto  ", 20," 8.3 (scored by 42,379 users)"," Nov 13, 2010 - Jan 16, 2011", 1 hr. 5 min.,"Comedy,Romance,Drama,Melodrama,Supernatural","BodySwap,RichMan/PoorWoman,HardworkingFemaleLead,Hot-temperedFemaleLead,CharacterDevelopment,MaleChasesFemaleFirst,RichMaleLead,StrongFemaleLead,HateToLove,RichMan/PoorWoman","Hyun Bin,Ha Ji Won,Yoon Sang Hyun,Kim Sa Rang,","Lee Phillip,Yoo Seo Jin,"
9,https://mydramalist.com/9-friend-our-legend,"Friend, Our Legend  (2009)", Drama, South Korea ,,"  Chingu, Urideurui Jeonseol  ,   Friend, The Untold Story  ,   The Unfinished Tale  ", 20, 7.7 (scored by 270 users)," Jun 27, 2009 - Aug 30, 2009", 60 min.,"Action,Military,Friendship,Business,Comedy,Romance,Crime,School,Youth,Drama,Political","FriendsToEnemies,Gangster,ComingOfAge","Hyun Bin,Kim Min Joon,Seo Do Young,Wang Ji Hye,Lee Si Eon,","Jung Yoo Mi,"
10,https://mydramalist.com/10-taisetsu-na-koto-wa-subete-kimi-ga-oshiete-kureta,Taisetsu na Koto wa Subete Kimi ga Oshiete Kureta (2011), Drama, Japan ," Nishiura Masaki,  Aizawa Hideyuki,  Hayama Hiroki ","  You Taught Me All the Important Things ,  You Taught Me All the Precious Things  ", 10," 7.2 (scored by 2,509 users)"," Jan 17, 2011 - Mar 28, 2011", 45 min.,"Romance,School,Drama","CowardMaleLead,Student/TeacherRelationship,FemaleAntagonist,DarkPlot,Teacher,Infidelity,HighSchool,PersonalGrowth,Revenge,IdolActor","Miura Haruma,Toda Erika,Takei Emi,","Shinoda Mariko,Uchida Yuki,Nishimura Masahiko,"
11,https://mydramalist.com/11-samurai-high-school,Samurai High School (2009), Drama, Japan ," Inomata Ryuichi,  Sato Toya,  Kariyama Shunsuke ",    , 9," 7.4 (scored by 3,340 users)"," Oct 17, 2009 - Dec 12, 2009", 45 min.,"Comedy,School,Fantasy","FlashbackToPast,HighSchool,Transformation,WeakMaleLead,Samurai,TimeTravel","Miura Haruma,Shirota Yu,Watanabe Anne,","Kobayashi  Masahiro,Muroi  Shigeru,Ohgo Suzuka,"
12,https://mydramalist.com/12-midas,Midas (2011), Drama, South Korea ," Kang Shin Hyo,  Lee Chang Min ",  Maideoseu  , 21," 7.1 (scored by 1,652 users)"," Feb 22, 2011 - May  3, 2011", 1 hr. 5 min.,"Suspense,Business,Romance,Drama","Heir,Lawyers,LoveTriangle","Jang Hyuk,Lee Min Jung,Noh Min Woo,Kim Hee Ae,","Shin Seung Hwan,Ricky Kim,"
13,https://mydramalist.com/13-fox-volant-of-the-snowy-mountain,Fox Volant of the Snowy Mountain (2007), Drama, Hong Kong , Tan You Ye ,"  Xue Shan Fei Hu  ,    Flying Fox of the Snowy Mountain  ", 40, 7.2 (scored by 136 users)," May 14, 2007 - Jul  6, 2007", 45 min.,Wuxia,"Sword-fight,AdaptedFromANovel,MartialArts,Historical","Gillian Chung,Ady An,Anthony Wong,Athena Chu,Nie Yuan,","Gao Hu,"
14,https://mydramalist.com/14-bloody-monday,Bloody Monday (2008), Drama, Japan ," Hatano Takafumi,  Hirano Shunichi ",  Buraddii Mandei  , 11," 8.3 (scored by 6,345 users)"," Oct 11, 2008 - Dec 20, 2008", 58 min.,"Action,Suspense,Mystery,Investigation","Terrorism,Hacker,HiddenIdentity,Genius,Cult,HumanExperimentation,Death,AdaptedFromAManga,Bromance","Miura Haruma,Narimiya Hiroki,","Kichise Michiko,Sato Takeru,Matsushige Yutaka,Tokunaga Eri,"
15,https://mydramalist.com/15-natsu-no-koi-wa-nijiiro-ni-kagayaku,Natsu no Koi wa Nijiiro ni Kagayaku (2010), Drama, Japan ," Hoshino Kazunari,  Sawada Kensaku ","  Summer Romance Shines in Rainbow Color ,   Summer Love Shines in Rainbow Color  ", 10," 7.3 (scored by 1,702 users)"," Jul 19, 2010 - Sep 20, 2010", 54 min.,"Comedy,Romance","PersonalGrowth,OlderWoman/YoungerMan,EntertainmentIndustry,SingleParent,StrongFemaleLead,ShowBusiness,Brothers,Bromance,DeathOfSpouse,LoveTriangle","Matsumoto Jun,Takeuchi Yuko,","Sawamura Ikki,Kobayashi Seiran,Kasahara Hideyuki,Nagayama Kento,"
16,https://mydramalist.com/16-smile-2009,Smile (2009), Drama, Japan ," Ishii Yasuharu,  Akihiko Watase,  Tsuboi Toshio ",    , 11," 7.7 (scored by 1,721 users)"," Apr 17, 2009 - Jun 26, 2009", 54 min.,"Romance,Life,Drama","Prejudice,Prison,WrongfullyAccused,Muteness,AbuseOfPower,Bad/WrongTag,JuvenileDelinquent,Arashi,Tearjerker,Corruption","Matsumoto Jun,Aragaki Yui,","Nakai Kiichi,Oguri Shun,Okuchi Kengo,Tokuyama Hidenori,"
17,https://mydramalist.com/17-bloody-monday-2,Bloody Monday 2 (2010), Drama, Japan ," Aso Manabu,  Hirano Shunichi ","  Buraddii Mandei 2 ,  Bloody Monday Season 2 ,  ブラッディ・マンデイ シーズン2  ", 9," 8.3 (scored by 4,250 users)"," Jan 23, 2010 - Mar 20, 2010", 58 min.,"Action,Suspense","Terrorism,NuclearBomb,Hacker,HiddenIdentity,Death,Genius,AdaptedFromAManga,Investigation","Miura Haruma,Narimiya Hiroki,Sato Takeru,","Kichise Michiko,Matsushige Yutaka,Ashina Sei,"
